timestamp,entity,event,total_matched_in_odoo,synced_count,failed_count,batch_count,status,actor,note
2026-08-13T02:31:35.459575+00:00,product,upsert,1240,100,0,1,success,,
2026-08-14T01:07:48.339817+00:00,product,upsert,1,1,0,1,success,,
2026-08-14T09:00:15.760926+00:00,product,upsert,1241,30,0,1,success,,
2026-08-17T04:48:18.708557+00:00,stock-matrix,upsert,90,0,30,1,failed,,20 produk verified di eSuite tapi tidak ketemu di Odoo
2026-08-17T10:09:11.335815+00:00,product,upsert,1,1,0,1,success,,
2026-08-17T10:10:42.069743+00:00,stock-matrix,upsert,2,0,2,1,failed,,
2026-08-17T11:04:01.325484+00:00,stock-matrix,upsert,1,0,1,1,failed,,
2026-08-17T11:39:29.320096+00:00,stock-matrix,upsert,1,1,0,1,success,,
2026-08-17T11:39:39.129337+00:00,stock-matrix,upsert,1,1,0,1,success,,
2026-08-18T02:29:17.499932+00:00,stock-matrix,upsert,1,1,0,1,success,,
